epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
47,4860,0.0085,0.0085,0.0198,0.0198
48,0,0.0088,0.0088,0.0208,0.0208
48,540,0.0091,0.0091,0.0175,0.0175
48,1080,0.01,0.01,0.0254,0.0254
48,1620,0.0067,0.0067,0.0104,0.0104
48,2160,0.0108,0.0108,0.0244,0.0244
48,2700,0.0111,0.0111,0.0298,0.0298
48,3240,0.0051,0.0051,0.0145,0.0145
48,3780,0.0126,0.0126,0.0187,0.0187
48,4320,0.0086,0.0086,0.023,0.023
48,4860,0.008,0.008,0.0314,0.0314
49,0,0.0079,0.0079,0.0276,0.0276
49,540,0.0045,0.0045,0.016,0.016
49,1080,0.0084,0.0084,0.0277,0.0277
49,1620,0.0077,0.0077,0.0209,0.0209
49,2160,0.0055,0.0055,0.0201,0.0201
49,2700,0.0071,0.0071,0.024,0.024
49,3240,0.0062,0.0062,0.0278,0.0278
49,3780,0.0124,0.0124,0.0242,0.0242
49,4320,0.011,0.011,0.0199,0.0199
49,4860,0.0078,0.0078,0.0191,0.0191
50,0,0.0072,0.0072,0.0259,0.0259
50,540,0.0127,0.0127,0.0187,0.0187
50,1080,0.0099,0.0099,0.0183,0.0183
50,1620,0.0115,0.0115,0.0263,0.0263
50,2160,0.0069,0.0069,0.014,0.014
50,2700,0.0073,0.0073,0.0263,0.0263
50,3240,0.0051,0.0051,0.0135,0.0135
50,3780,0.0102,0.0102,0.022,0.022
50,4320,0.0141,0.0141,0.0325,0.0325
50,4860,0.0085,0.0085,0.0195,0.0195
51,0,0.0041,0.0041,0.0115,0.0115
51,540,0.007,0.007,0.0194,0.0194
51,1080,0.0065,0.0065,0.0198,0.0198
51,1620,0.0072,0.0072,0.0241,0.0241
51,2160,0.0067,0.0067,0.0198,0.0198
51,2700,0.0081,0.0081,0.0183,0.0183
51,3240,0.0067,0.0067,0.0292,0.0292
51,3780,0.0108,0.0108,0.0286,0.0286
51,4320,0.0117,0.0117,0.0284,0.0284
51,4860,0.0085,0.0085,0.0157,0.0157
52,0,0.0103,0.0103,0.0169,0.0169
52,540,0.0099,0.0099,0.0297,0.0297
52,1080,0.0049,0.0049,0.0189,0.0189
52,1620,0.0057,0.0057,0.0195,0.0195
52,2160,0.0053,0.0053,0.0128,0.0128
52,2700,0.0087,0.0087,0.0213,0.0213
52,3240,0.0049,0.0049,0.0234,0.0234
52,3780,0.0102,0.0102,0.0288,0.0288
52,4320,0.0118,0.0118,0.0128,0.0128
52,4860,0.0072,0.0072,0.023,0.023
53,0,0.0069,0.0069,0.0196,0.0196
53,540,0.008,0.008,0.0188,0.0188
53,1080,0.0072,0.0072,0.0261,0.0261
53,1620,0.0039,0.0039,0.0189,0.0189
53,2160,0.0085,0.0085,0.0172,0.0172
53,2700,0.0101,0.0101,0.0186,0.0186
53,3240,0.008,0.008,0.0277,0.0277
53,3780,0.0103,0.0103,0.0149,0.0149
53,4320,0.0203,0.0203,0.0207,0.0207
53,4860,0.0088,0.0088,0.0333,0.0333
54,0,0.0081,0.0081,0.0214,0.0214
54,540,0.0066,0.0066,0.023,0.023
54,1080,0.0088,0.0088,0.0198,0.0198
54,1620,0.0062,0.0062,0.0219,0.0219
54,2160,0.006,0.006,0.021,0.021
54,2700,0.0085,0.0085,0.0203,0.0203
54,3240,0.0081,0.0081,0.0342,0.0342
54,3780,0.0144,0.0144,0.0185,0.0185
54,4320,0.0109,0.0109,0.0294,0.0294
54,4860,0.0051,0.0051,0.0193,0.0193
55,0,0.0068,0.0068,0.0121,0.0121
55,540,0.0048,0.0048,0.0258,0.0258
55,1080,0.015,0.015,0.0186,0.0186
55,1620,0.0041,0.0041,0.0128,0.0128
55,2160,0.0062,0.0062,0.0213,0.0213
55,2700,0.0094,0.0094,0.028,0.028
55,3240,0.0047,0.0047,0.03,0.03
55,3780,0.0108,0.0108,0.0163,0.0163
55,4320,0.0102,0.0102,0.0176,0.0176
55,4860,0.0056,0.0056,0.0187,0.0187
56,0,0.007,0.007,0.0191,0.0191
56,540,0.0055,0.0055,0.0108,0.0108
56,1080,0.0154,0.0154,0.0253,0.0253
56,1620,0.0054,0.0054,0.0207,0.0207
56,2160,0.0049,0.0049,0.0242,0.0242
56,2700,0.0068,0.0068,0.016,0.016
56,3240,0.0046,0.0046,0.0252,0.0252
56,3780,0.0085,0.0085,0.0267,0.0267
